label,degree,weighted_degree,betweenness,normalized_betweenness,eccentricity,closeness,network
Bellatrix Lestrange,7,9,7.946428571428572,0.01130359682991262,3,0.5428571428571428,harry_potter_and_the_half-blood_prince
Rubeus Hagrid,8,13,0.2678571428571428,0.0003810201178622231,3,0.5428571428571428,harry_potter_and_the_half-blood_prince
Pixie,7,7,0.0,0.0,3,0.5416666666666666,harry_potter_and_the_prisoner_of_azkaban
Arthur Weasley,7,7,0.0,0.0,3,0.5416666666666666,harry_potter_and_the_prisoner_of_azkaban
Students,7,7,0.0,0.0,3,0.5416666666666666,harry_potter_and_the_prisoner_of_azkaban
Maid,6,6,0.0,0.0,2,0.5416666666666666,harry_potter_and_the_prisoner_of_azkaban
Peter Pettigrew,6,12,0.0,0.0,2,0.5416666666666666,harry_potter_and_the_prisoner_of_azkaban
Peter Pettigrew,6,9,8.748412698412698,0.01066879597367402,2,0.5394736842105263,harry_potter_and_the_goblet_of_fire
Ghost,9,9,0.0,0.0,2,0.5391304347826087,harry_potter_and_the_order_of_the_phoenix
Ghosts,9,9,0.0,0.0,2,0.5391304347826087,harry_potter_and_the_order_of_the_phoenix
Molly Weasley,9,12,2.25,0.001189846641988366,2,0.5391304347826087,harry_potter_and_the_order_of_the_phoenix
Lily Potter,9,10,5.933333333333334,0.003137669663317469,2,0.5391304347826087,harry_potter_and_the_order_of_the_phoenix
Arabella Figg,9,10,4.383333333333333,0.002317997532169928,2,0.5391304347826087,harry_potter_and_the_order_of_the_phoenix
Magorian,9,9,0.0,0.0,2,0.5391304347826087,harry_potter_and_the_order_of_the_phoenix
All,7,10,0.3666666666666666,0.0003117913832199546,2,0.5384615384615384,harry_potter_and_the_philosophers_stone
Ginny Weasley,7,7,0.0,0.0,2,0.5384615384615384,harry_potter_and_the_philosophers_stone
Molly Weasley,7,7,0.0,0.0,2,0.5384615384615384,harry_potter_and_the_philosophers_stone
Sorting Hat,7,7,0.0,0.0,2,0.5384615384615384,harry_potter_and_the_philosophers_stone
Old man,7,7,0.0,0.0,2,0.5384615384615384,harry_potter_and_the_philosophers_stone
Lucius Malfoy,9,10,3.643722943722943,0.003098403863709986,3,0.5384615384615384,harry_potter_and_the_deathly_hallows_part_2
Kreacher,8,11,1.510416666666667,0.0009807900432900433,2,0.5384615384615384,harry_potter_and_the_deathly_hallows_part_1
Vincent Crabbe,7,10,0.75,0.0006122448979591836,2,0.5376344086021505,harry_potter_and_the_chamber_of_secrets
Molly Weasley,8,10,2.285714285714286,0.003251371672424304,3,0.5352112676056338,harry_potter_and_the_half-blood_prince
Kingsley Shacklebolt,8,11,1.5,0.0007932310946589106,2,0.5344827586206896,harry_potter_and_the_order_of_the_phoenix
Severus Snape,8,10,1.761111111111111,0.0009313120629884247,2,0.5344827586206896,harry_potter_and_the_order_of_the_phoenix
Alastor Moody,8,11,1.5,0.0007932310946589106,2,0.5344827586206896,harry_potter_and_the_order_of_the_phoenix
Pansy Parkinson,6,6,0.0,0.0,3,0.5342465753424658,harry_potter_and_the_prisoner_of_azkaban
Sybill Trelawney,6,8,0.45,0.0006072874493927126,3,0.5342465753424658,harry_potter_and_the_prisoner_of_azkaban
Dudley Dursley,6,12,0.2,0.0001700680272108844,2,0.532608695652174,harry_potter_and_the_philosophers_stone
Filius Flitwick,6,6,0.0,0.0,2,0.532608695652174,harry_potter_and_the_philosophers_stone
Goblin,6,6,0.0,0.0,2,0.532608695652174,harry_potter_and_the_philosophers_stone
Petunia Dursley,6,12,0.2,0.0001700680272108844,2,0.532608695652174,harry_potter_and_the_philosophers_stone
Vernon Dursley,6,12,0.2,0.0001700680272108844,2,0.532608695652174,harry_potter_and_the_philosophers_stone
Firenze,6,6,0.0,0.0,2,0.532608695652174,harry_potter_and_the_philosophers_stone
Tom,6,6,0.0,0.0,2,0.532608695652174,harry_potter_and_the_philosophers_stone
Pansy Parkinson,8,9,0.6897546897546898,0.0005865260967301784,3,0.532608695652174,harry_potter_and_the_deathly_hallows_part_2
Shrunken head,6,6,0.0,0.0,2,0.532608695652174,harry_potter_and_the_philosophers_stone
The Fat Lady,6,6,0.0,0.0,2,0.532608695652174,harry_potter_and_the_philosophers_stone
Ginny Weasley,8,11,1.0,0.001219512195121951,3,0.5324675324675324,harry_potter_and_the_goblet_of_fire
Snatcher,6,6,0.0,0.0,2,0.5319148936170213,harry_potter_and_the_chamber_of_secrets
Rubeus Hagrid,7,9,0.65,0.0003437334743521946,2,0.5299145299145299,harry_potter_and_the_order_of_the_phoenix
Neville Longbottom,6,6,0.0,0.0,2,0.5283018867924528,harry_potter_and_the_deathly_hallows_part_1
Cormac McLaggen,6,6,0.0,0.0,2,0.5283018867924528,harry_potter_and_the_deathly_hallows_part_1
Griphook,6,6,0.0,0.0,2,0.5283018867924528,harry_potter_and_the_deathly_hallows_part_1
Xenophilius Lovegood,9,14,0.2857142857142857,0.0001855287569573284,3,0.5283018867924528,harry_potter_and_the_deathly_hallows_part_1
Marcus Belby,6,6,0.0,0.0,3,0.5277777777777778,harry_potter_and_the_half-blood_prince
Death Eater,7,7,0.0,0.0,3,0.5277777777777778,harry_potter_and_the_half-blood_prince
Student,5,5,0.0,0.0,2,0.5268817204301075,harry_potter_and_the_philosophers_stone
Argus Filch,7,7,1.00523088023088,0.0008547881634616329,3,0.5268817204301075,harry_potter_and_the_deathly_hallows_part_2
Sybill Trelawney,8,10,0.125,0.0001062925170068027,3,0.5268817204301075,harry_potter_and_the_deathly_hallows_part_2
Vernon Dursley,7,11,1.958333333333333,0.001598639455782313,3,0.5263157894736842,harry_potter_and_the_chamber_of_secrets
Severus Snape,6,9,0.4861111111111111,0.0005928184281842818,3,0.5256410256410257,harry_potter_and_the_goblet_of_fire
Viktor Krum,7,9,0.1666666666666667,0.0002032520325203252,3,0.5256410256410257,harry_potter_and_the_goblet_of_fire
Rita Skeeter,7,9,1.333333333333333,0.001626016260162602,3,0.5256410256410257,harry_potter_and_the_goblet_of_fire
Vernon Dursley,6,7,2.0,0.001057641459545214,2,0.5254237288135594,harry_potter_and_the_order_of_the_phoenix
Walburga Black,6,6,0.0,0.0,2,0.5254237288135594,harry_potter_and_the_order_of_the_phoenix
Muriel,8,8,0.0,0.0,3,0.5233644859813084,harry_potter_and_the_deathly_hallows_part_1
Elphias Doge,8,8,0.0,0.0,3,0.5233644859813084,harry_potter_and_the_deathly_hallows_part_1
Gellert Grindelwald,5,5,0.0,0.0,2,0.5233644859813084,harry_potter_and_the_deathly_hallows_part_1
Nymphadora Tonks,5,5,0.0,0.0,2,0.5210084033613446,harry_potter_and_the_order_of_the_phoenix
Dilys Derwent,5,5,0.0,0.0,2,0.5210084033613446,harry_potter_and_the_order_of_the_phoenix
James Potter,5,5,0.0,0.0,2,0.5210084033613446,harry_potter_and_the_order_of_the_phoenix
Bane,5,5,0.0,0.0,2,0.5210084033613446,harry_potter_and_the_order_of_the_phoenix
Howler,5,5,0.0,0.0,2,0.5210084033613446,harry_potter_and_the_order_of_the_phoenix
Dudley Dursley,5,5,0.0,0.0,2,0.5210084033613446,harry_potter_and_the_order_of_the_phoenix
Phineas,5,5,0.0,0.0,2,0.5210084033613446,harry_potter_and_the_order_of_the_phoenix
Everard,5,5,0.0,0.0,2,0.5210084033613446,harry_potter_and_the_order_of_the_phoenix
Dudley Dursley,6,9,0.0,0.0,3,0.5208333333333334,harry_potter_and_the_chamber_of_secrets
Petunia Dursley,6,9,0.0,0.0,3,0.5208333333333334,harry_potter_and_the_chamber_of_secrets
Moaning Myrtle,4,10,0.0,0.0,2,0.5208333333333334,harry_potter_and_the_chamber_of_secrets
Gregory Goyle,4,4,0.0,0.0,2,0.5208333333333334,harry_potter_and_the_chamber_of_secrets
George Weasley,6,6,0.0,0.0,3,0.5205479452054794,harry_potter_and_the_half-blood_prince
Remus Lupin,6,6,0.0,0.0,3,0.5205479452054794,harry_potter_and_the_half-blood_prince
Nymphadora Tonks,6,6,0.0,0.0,3,0.5205479452054794,harry_potter_and_the_half-blood_prince
Fred Weasley,6,6,0.0,0.0,3,0.5205479452054794,harry_potter_and_the_half-blood_prince
Arthur Weasley,6,6,0.0,0.0,3,0.5205479452054794,harry_potter_and_the_half-blood_prince
Parvati Patil,6,10,0.0,0.0,3,0.5189873417721519,harry_potter_and_the_goblet_of_fire
Padma Patil,6,10,0.0,0.0,3,0.5189873417721519,harry_potter_and_the_goblet_of_fire
Rufus Scrimgeour,7,7,0.0,0.0,3,0.5185185185185185,harry_potter_and_the_deathly_hallows_part_1
Mykew Gregorovitch,4,4,0.0,0.0,2,0.5185185185185185,harry_potter_and_the_deathly_hallows_part_1
